port,country,phone,email,website
"Green's Harbour, Canada",Canada,+1 709 582 2299 ,n/a,n/a
"Port of Port Hardy, Canada",Canada,+1 250 9496332 ,rick@district.porthardy.bc.ca,n/a
"Annandale Harbour, Canada",Canada,n/a,n/a,n/a
"Port of Corner Brook, Canada",Canada,+1 709 6346600 ,info@cornerbrookport.com,http://www.cornerbrookport.com/
"Port of Stewart, Canada",Canada,+1 250 636 2626 ,evzell@hotmail.com,n/a
"Cheticamp Harbour (Town Wharf), Canada",Canada,+1  902 224 3009 ,harbour.authority@ns.aliantzinc.ca,n/a
"Val Comeau Harbour, Canada",Canada,+1 506 393 8809 ,racomeau@nbnet.nb.ca,n/a
"Hardwicke (French River), Canada",Canada,+1 506 228 0898 ,n/a,n/a
"Sluice Point Harbour, Canada",Canada,+1 902  648 2549 ,n/a,n/a
"Fishing Cove, Canada",Canada,n/a,n/a,n/a
"Courtright, Canada",Canada,n/a,n/a,n/a
"Trinity East Harbour, Canada",Canada,+1 709  464 3439 ,n/a,n/a
"Main-à-Dieu Harbour, Canada",Canada,+1 902 733 3238 ,n/a,n/a
"Port Union, Canada",Canada,n/a,n/a,n/a
"Trout River Harbour, Canada",Canada,+1 709 451 3113 ,n/a,n/a
"Musquodoboit Harbour, Canada",Canada,n/a,n/a,n/a
"Seal Cove - Fishermen's Wharves, Canada",Canada,+1 506 662 8482 ,n/a,n/a
"Petty Harbour, Canada",Canada,+1 709 368 8042 ,pettyharbourauthority@nl.rogers.com,n/a
"Ste-Thérèse-de-Gaspé, Canada",Canada,+1 418 385 2320 ,adm.port.ste-theresedegaspe@globetrotter.net,n/a
"Pot of Oshawa, Canada",Canada,+1 905 5760400 ,info@portofoshawa.ca,http://portofoshawa.ca/
"Parrsboro Harbour, Canada",Canada,+1 902 2542036 ,town@town.parrsboro.ns.ca,http://www.town.parrsboro.ns.ca/
"Hearts Content, Canada",Canada,n/a,n/a,n/a
"Port of Quebec, Canada",Canada,+1 418 6483640 ,marketing@portquebec.ca,http://www.portquebec.ca/
"Port of Saint John, Canada",Canada,+1 506 6364869 ,port@sjport.com,http://www.sjport.com/
"Port Hastings, Canada",Canada,n/a,n/a,n/a
"Moreton's Harbour, Canada",Canada,+1 709 684 2482ext.2226 ,acanning@nf.sympatico.ca,n/a
"Lions Head, Canada",Canada,n/a,n/a,n/a
"Big Bras D'or Harbour, Canada",Canada,n/a,n/a,n/a
"Caribou Harbour (Little Caribou Entrance), Canada",Canada,n/a,n/a,n/a
"Tracadie Harbour, Canada",Canada,+1 506 395 3322 ,n/a,n/a
"Oona River Harbour, Canada",Canada,+1 250 628 3214 ,oonariv@citytel.net,n/a
"Little Harbour (Cherry Hill), Canada",Canada,+1 902 677 2491 ,n/a,n/a
"Grande Entree Harbour, Canada",Canada,+1 418 985 2852 ,aphpge@tlb.sympatico.ca,n/a
"Newmans Cove Harbour, Canada",Canada,+1 709 468 2578 ,n/a,n/a
"Wedge Point (Wedgeport)  Harbour, Canada",Canada,+1 902 663 4666 ,n/a,n/a
"Central Port Mouton - Fishermen's Wharf, Canada",Canada, +1 902 683 2428 ,n/a,n/a
"Port of Moosonee, Canada",Canada,n/a,n/a,n/a
"St. Lewis Harbour, Canada",Canada,+1 709 939 2357 ,geminic79@hotmail.com,n/a
"Picton, Canada",Canada,n/a,n/a,n/a
"Thessalon, Canada",Canada,n/a,n/a,n/a
"Lower Prospect Harbour, Canada",Canada,n/a,n/a,n/a
"Neils Harbour , Canada",Canada,+1 902 336 2235 ,nvspha@ns.aliantzinc.ca,n/a
"Makkovik Harbour, Canada",Canada,+1 709 923 2221 ,n/a,n/a
"Ingonish Beach Harbour, Canada",Canada,+1 902 336 2235 ,nvspha@ns.aliantzinc.ca,n/a
"Bayport Harbour, Canada",Canada,+1 902 634 3570 ,n/a,n/a
"Barrios Beach (Tracadie), Canada",Canada,n/a,n/a,n/a
"Mission Harbour, Canada",Canada,+1 604 826 4414 ,missharb@telus.net,n/a
"Hull, Canada",Canada,n/a,n/a,n/a
"Tuktoyaktuk Harbor, Canada",Canada,n/a,n/a,n/a
"Desbarats, Canada",Canada,n/a,n/a,n/a
"Aspen Cove Harbour, Canada",Canada,+1 709 670 3426 ,n/a,n/a
"New Harbour , Canada",Canada,+1 709 582 2830 ,geoff@woodmanseaproducts.com,n/a
"Lawn Harbour, Canada",Canada,+1 709 873 2631 ,n/a,n/a
"Riviere du Loup Harbor, Canada",Canada,n/a,n/a,n/a
"Key Harbour, Canada",Canada,n/a,n/a,n/a
"Seal Cove, Canada",Canada,n/a,n/a,n/a
"Cartwright Harbor, Canada",Canada,n/a,n/a,n/a
"Pinette Harbour, Canada",Canada,n/a,n/a,n/a
"Monkstown Harbour, Canada",Canada,+1 709 463 8760 ,roxannegreen53@hotmail.com,n/a
"Perce Harbour, Canada",Canada,+1 418 689 5055 ,rppsg@globetrotter.net,n/a
"Placentia Harbor, Canada",Canada,n/a,n/a,n/a
"Canso Harbor, Canada",Canada,+1 902 3662391 ,n/a,n/a
"Port Hawkesbury, Canada",Canada,+1 902 7472410 ,timgilfoy@straitsuperport.com,http://www.straitsuperport.com/
"Hospital Bay , Canada",Canada,+1 604 883 2234 ,jibar@telus.net,n/a
"Margaree Harbour (Belle Cote), Canada",Canada,n/a,n/a,n/a
"Port Harmon, Canada",Canada,+1 709 643 3148 ,ohn_josie@hotmail.com,n/a
"Old Perlican Harbour, Canada",Canada,+1 709 587 2885 ,HAOP@Eastlink.ca,n/a
"Hilton Beach, Canada",Canada,n/a,n/a,n/a
"Niagara, Canada",Canada,n/a,n/a,n/a
"Coal Harbor, Canada",Canada,n/a,n/a,n/a
"Port of Port Hood, Canada",Canada,+1 902 7873050 ,development@porthood.ca,http://porthood.ca/
"Dauphin River Harbour, Canada",Canada,+1 204 659 4210 ,n/a,n/a
"New Bella Bella, Canada",Canada,n/a,n/a,n/a
"Duncan Bay Harbor, Canada",Canada,n/a,n/a,n/a
"Ocean Falls Harbour, Canada",Canada,+1 250 2893859 ,hlcarpenter@mymailstation.com,n/a
"Port Neville Harbor, Canada",Canada,n/a,n/a,n/a
"Port Morien, Canada",Canada,n/a,n/a,n/a
"Fleur de Lys Harbour, Canada",Canada,+1 709 253 2120 ,n/a,n/a
"Blind River Harbour, Canada",Canada,n/a,n/a,n/a
"Little Burin Harbor, Canada",Canada,n/a,n/a,n/a
"Kuujjuaq (fort Chimo), Canada",Canada,n/a,n/a,n/a
"Belleville Harbour, Canada",Canada,n/a,n/a,n/a
"Oka Sur Le Lac, Canada",Canada,n/a,n/a,n/a
"River of Ponds, Canada",Canada,+1 709 225 3105 ,holly.patey@nf.sympatico.ca,n/a
"Ferryland Harbour, Canada",Canada,+1 709  432 2659 ,n/a,n/a
"Rushoon  Harbour, Canada",Canada,+1 709 443 2613 ,n/a,n/a
"Winterton Harbour, Canada",Canada,+1 709 583 2812 ,wintertonhr.authority@hotmail.com,n/a
"Toney River Harbour, Canada",Canada,n/a,n/a,n/a
"Victoria Beach, Canada",Canada,+1 204 756 3320 ,n/a,n/a
"Ladle Cove Harbour, Canada",Canada,+1 709 670 3426 ,n/a,n/a
"Namu, Canada",Canada,n/a,n/a,n/a
"Lunenburg-Railway Wharf  Harbour, Canada",Canada, +1 902  634 3470 ,n/a,n/a
"Mal-Bay (St-Georges) Harbour, Canada",Canada,+1 418 368 6075 ,admportabrillantstgmalbaie@globetrotter.net,n/a
"Twillingate Harbour, Canada",Canada,+1 709 8842096 ,n/a,n/a
"Cheticamp Point Harbour, Canada",Canada,+1 902 224 3009 ,harbour.authority@ns.aliantzinc.ca,n/a
"Port of Goderich, Canada",Canada,+1 519 5248344 ,townhall@goderich.ca,http://www.goderich.ca/
"Brown's Cove (Heatherton) Harbour, Canada",Canada, +1 709 645 2314 ,n/a,n/a
"Pictou Landing Harbour, Canada",Canada,+1 902 754 4275  ,haopl@auracom.com,http://www.auracom.com/haopl/
"Lower Sandy Point Harbour, Canada",Canada,n/a,sea.scape@ns.sympatico.ca,n/a
"Leading Tickles West Harbour, Canada",Canada,+1 709  483 2099 ,n/a,n/a
"Lower Island Cove, Canada",Canada,+1 709 584 3682 ,n/a,n/a
"Pointe-Basse Harbour, Canada",Canada,+1 418 937 6837 ,n/a,n/a
"Port of Nanaimo, Canada",Canada,+1 250 7534146 ,info@npa.ca,http://www.npa.ca/
"Little Burnt Bay, Canada",Canada,+1 709 535 0688 ,n/a,n/a
"Port Saunders, Canada",Canada,+1 709 861 7406 ,n/a,n/a
"Bamfield Islet (Inlet), Canada",Canada,n/a,n/a,n/a
"Madeira Park Harbour, Canada",Canada,+1 604 883 2234 ,jibar@telus.net,n/a
"Ballantyne's Cove Harbour (Mcnair's Cove), Canada",Canada,+1 902 863 8162 ,n/a,n/a
"Eddies Cove West Harbour, Canada",Canada,+1 709 847 4122 ,n/a,n/a
"Francois Harbour, Canada",Canada,+1 709 842 3396 ,austinaudreyfdg@hotmail.com,n/a
"McAuley's Shore (Pinette River), Canada",Canada,n/a,n/a,n/a
"Port of Prescott, Canada",Canada,+1 613 9254228 ,dalleyr@portofprescott.com,http://www.portofprescott.com/
"Port of Cowichan Bay, Canada",Canada,+1 250 7462500 ,cbfwa@cvnet.net,n/a
"Sachs Harbor, Canada",Canada,n/a,n/a,n/a
"Kelsey Bay Harbour, Canada",Canada,+1 250 282 3851 ,dvchauvin@telus.net,n/a
"Little River Harbour, Canada",Canada,n/a,n/a,n/a
" Port of Shelburne, Canada",Canada,+1 902 8752991 ,shelburnetown@ns.aliantzinc.ca,http://www.portshelburne.com/
"Salmon Bay, Canada",Canada,+1 418 379 202 ,t4roberts@gmail.com,n/a
"Chatham Harbor, Canada",Canada,n/a,n/a,n/a
"Port of Annapolis Royal, Canada",Canada,+1 902 6654083 ,n/a,n/a
"Honora, Canada",Canada,n/a,n/a,n/a
"Tourelles Harbour (St-Joachim), Canada",Canada,+1 418 763 5371 ,giseleservant@hotmail.com,n/a
"Port of Gaspe, Canada",Canada,n/a,n/a,n/a
"Cow Bay, Canada",Canada,+1 250 628 9220 ,peharbour@citytel.net,http://www.peharbour.ca/
"North West River, Canada",Canada,n/a,n/a,n/a
"Kemano Bay, Canada",Canada,n/a,n/a,n/a
"Port of Campbellton, Canada",Canada,+1 902 8922491 ,n/a,n/a
"Port Edward, Canada",Canada,+1 250 628 9220 ,peharbour@citytel.net,http://www.peharbour.ca/
"Sooke Harbour, Canada",Canada,+1 250 642 4431 ,sookeharbourauthority@shaw.ca,n/a
"St. John's (Prosser Rock), Canada",Canada,+1 709 722 3631 ,dmullett@smallboatbasin.nf.net,http://www.smallboatbasin.nf.net/
"Steveston (Paramount)  Harbour, Canada",Canada,+1 604 2725539 ,info@stevestonharbour.com,http://www.stevestonharbour.com/
"Frenchman's Cove (Bay of Islands), Canada",Canada,+1 709 789 2929 ,n/a,n/a
"Port of Sarnia, Canada",Canada,+1 519 33375121 ,harboumaster@sarship.com,n/a
"Port of Penetanguishene, Canada",Canada,+1 705 5497453 ,ctobey@penetanguishene.ca,http://www.town.penetanguishene.on.ca/
"Burdwood Bay, Canada",Canada,n/a,n/a,n/a
"Port of Stephenville, Canada",Canada,+1 709 6435626 ,portharmonauth@nf.aibn.com,n/a
"Brockville, Canada",Canada,+1 613 3428772 ,info@brockville.com,http://www.city.brockville.on.ca/
"Shad Bay Harbour, Canada",Canada,+1 902 852 3733 ,n/a,n/a
"Blanc Sablon-Cale De Halage, Canada",Canada,+1 418 461 2479 ,rilleylavallee@gmail.com,n/a
"Port of Windsor, Canada",Canada,+1 519 2585741 ,n/a,http://www.portwindsor.com/
"Port of Hamilton, Canada",Canada,+1 905 5254330 ,cargo@hamiltonport.ca,http://www.hamiltonport.ca/
"Kraut Point (Riverport)  Harbour, Canada",Canada, +1 902 766 0228 ,n/a,n/a
"Trepassey Harbor, Canada",Canada,+1 709 438 2014 ,hatrepassey@nf.aibn.com,n/a
"East Dover Harbour, Canada",Canada,n/a,n/a,n/a
"Bay Fortune, Canada",Canada,n/a,freda@pei.sympatico.ca,n/a
"Shippagan Harbour, Canada",Canada,+1 506 336 4010 ,apsnb@nbnet.nb.ca,n/a
"Bas-Neguac (Lower Neguac), Canada",Canada,n/a,n/a,n/a
"Dipper Harbour West, Canada",Canada,+1 506 659 2621 ,n/a,n/a
"Quatsino Sound Harbor, Canada",Canada,n/a,n/a,n/a
"Sambro Harbor, Canada",Canada,n/a,n/a,n/a
"Upper Whitehead Harbour, Canada",Canada,+1 902 358 2502 ,n/a,n/a
"South Side Harbour, Canada",Canada,n/a,n/a,n/a
"Whitefish Point Harbour, Canada",Canada,n/a,n/a,n/a
"St-Godefroi Harbour, Canada",Canada,+1 418 752 2851 ,fghuard@hotmail.com,n/a
"Port of Horseshoe Bay, Canada",Canada,n/a,villagelynxmedia@edgemontvillage.ca,http://www.horseshoebaybc.ca/
"Aulds cove Harbour, Canada",Canada,n/a,cdeagle@ns.sympatico.ca,n/a
"L'Anse-à-Valleau Harbour, Canada",Canada,+1 418 269 5357 ,cmathurin@cgaspésie.qc.ca,n/a
"Snug harbour, Canada",Canada,+1 916 7751455   ,sunshine@snugharbor.net,http://www.snugharbor.net/marina.htm
"Shoal Cove West Harbour, Canada",Canada,+1 709 847 6301 ,joztucker@hotmail.com,n/a
"Port of Sorel, Canada",Canada,n/a,n/a,n/a
"Robert's Arm Harbour, Canada",Canada,+1 709 652 3184 ,wilson.butt@nf.sympatico.ca,n/a
"Port Burwell, Canada",Canada,n/a,n/a,n/a
"Thornbury, Canada",Canada,n/a,n/a,n/a
"Darnley Harbour (Bridge), Canada",Canada,n/a,n/a,n/a
"Port Menier, Canada",Canada,n/a,n/a,n/a
"Sweet Bay Harbour, Canada",Canada,+1 709 462 2053 ,n/a,n/a
"Hampden, Canada",Canada,n/a,n/a,n/a
"Hnausa Harbour, Canada",Canada,+1 204 378 2825 ,n/a,n/a
"New Westminster, Canada",Canada,n/a,n/a,n/a
"Voglers Cove West Harbour, Canada",Canada, +1 902 677 2491 ,n/a,n/a
"Bay de Verde, Canada",Canada,+1 709 587 2160 ,n/a,n/a
"Lorneville Harbour, Canada",Canada,n/a,kmccavour@rogers.com,n/a
"Tignish Harbour, Canada",Canada,n/a,n/a,n/a
"Little Harbour (Halifax County), Canada",Canada,n/a,n/a,n/a
"Coopers Point Harbour, Canada",Canada,n/a,n/a,n/a
"Queensport, Canada",Canada,n/a,n/a,n/a
"Grand Rapids Reserve (No.33), Canada",Canada,+1 204 639 2323 ,n/a,n/a
"Marsh Marina, Canada",Canada,+1 705 5382285 ,marshsmarina@hotmail.com,http://www.marshsmarina.com/
"Triton West Harbour, Canada",Canada,+1 709 263 7265 ,everett.roberts@nf.sympatico.ca,n/a
"Little River (Digby County), Canada",Canada, +1 902 834 2620 ,n/a,n/a
"Hampton Harbour, Canada",Canada,n/a,n/a,n/a
"Harbour Breton, Canada",Canada,+1 709 677 3131 ,n/a,n/a
"Finn Bay Harbour, Canada",Canada,+1 604 483 4711 ,neilg@armourtech.com,n/a
"Terence Bay Harbour , Canada",Canada,n/a,n/a,n/a
"Neguac Harbour, Canada",Canada,+506 776 8795 ,n/a,n/a
"Ingalls Head, Canada",Canada,+1 506 662 8482 ,n/a,n/a
"Westview Harbour, Canada",Canada,n/a,n/a,n/a
"Belleoram Harbour, Canada",Canada,+1 709  881 7371 ,maysteward@canada.com,n/a
"Little Bay, Canada",Canada,n/a,n/a,n/a
"Alert Bay, Canada",Canada,+1 250 974 5727 ,boatharbour@alertbay.ca,n/a
"Chandler Harbor, Canada",Canada,n/a,n/a,n/a
"Bay du Vin, Canada",Canada,+1 506 228 4544 ,n/a,n/a
"Port of Trois Rivieres , Canada",Canada,+1 819 3782887 ,adm_gen@porttr.com,http://www.porttr.com/
"Port of Havre St Pierre, Canada",Canada,+1 418 5382717 ,n/a,n/a
"Faust Harbour, Canada",Canada,+1 780 3553835 ,n/a,n/a
"Havre Boucher Harbour, Canada",Canada,n/a,n/a,n/a
"Little Harbour (Shelburne County), Canada",Canada,n/a,n/a,n/a
"Michipicoten Harbour, Canada",Canada,+1 705 8560606 ,info@superioraggregates.com,http://www.superioraggregates.com/
"Botsford (Murray Corner) Harbour, Canada",Canada,n/a,n/a,n/a
"Thurso, Canada",Canada,n/a,n/a,n/a
"Silver Water Harbour, Canada",Canada,n/a,gpurvis@ontera.net,n/a
"Meteghan Harbour, Canada",Canada,+1 902 645 3151 ,n/a,n/a
"Goose Cove Harbour, Canada",Canada,+1 709 454 8828 ,n/a,n/a
"Sombra, Canada",Canada,n/a,n/a,n/a
"Forteau Bay, Canada",Canada,n/a,n/a,n/a
"Cap-de-St-Louis Harbour, Canada",Canada,+1 506 523 3486 ,babinpaving@nb.aibn.com,n/a
"Woody Point Harbour, Canada",Canada,+1 709 453 2023 ,n/a,n/a
"Alliford Bay, Canada",Canada,n/a,n/a,n/a
"Deep Bay Harbour, Canada",Canada,+1 250 757 9331 ,deepbay-mgr@shawcable.com,http://www.dbha.ca/
"Port of Amherstburg, Canada",Canada,n/a,n/a,n/a
"Port Hope Simpson, Canada",Canada,n/a,n/a,n/a
"Cape St. Mary Harbour, Canada",Canada,n/a,n/a,n/a
"Port of Cockburn, Canada",Canada,n/a,n/a,n/a
"Botwood Harbor, Canada",Canada,n/a,n/a,n/a
"Miller Brook (Saknib Beach) Harbour, Canada",Canada,n/a,ern77@nb.sympatico.ca,n/a
"Glace Bay, Canada",Canada,n/a,n/a,n/a
"Port of Port Mellon, Canada",Canada,+1 604 8845223 ,n/a,http://www.hspp.ca/
"Little Harbour (L'ardoise), Canada",Canada,+1 902 587 2218 ,n/a,n/a
"Alma Harbour, Canada",Canada,+1 506 887 2028 ,n/a,n/a
"Dingwall Harbour, Canada",Canada,n/a,n/a,n/a
"Port Whitby, Canada",Canada,n/a,n/a,n/a
"Gibsons Harbour, Canada",Canada,+1 604 886 8017 ,glha@telus.net,n/a
"Port of St. Andrews, Canada",Canada,+1 506 5295120 ,n/a,http://www.townofstandrews.ca/
"Great St Lawr Harbor, Canada",Canada,n/a,n/a,n/a
"Duck Bay Harbour, Canada",Canada,+1 204 524 2319 ,n/a,n/a
"Forestville Harbor, Canada",Canada,n/a,n/a,n/a
"Arisaig Harbour, Canada",Canada,n/a,n/a,n/a
"Mahone Bay Harbor, Canada",Canada,n/a,n/a,n/a
"South Lancaster, Canada",Canada,n/a,n/a,n/a
"Lepreau (Belas Basin) Harbour, Canada",Canada,n/a,n/a,n/a
"Aquaforte Harbour, Canada",Canada,+1 709 363 2154 ,n/a,n/a
"Lushes Bight Harbour, Canada",Canada, +1 709 264 4321 ,n/a,n/a
"Middle Bay, Canada",Canada,+1 418 461 2257 ,hclavallee@gmail.com,n/a
"Five Fathom Hole Harbour, Canada",Canada,n/a,kmccavour@rogers.com,n/a
"Surettes Island (the Tittle), Canada",Canada,n/a,n/a,n/a
"L'anse-A-Beaufils, Canada",Canada,+1 418 689 5055 ,rppsg@globetrotter.net,n/a
"Inverness (Mcisaac Pond), Canada",Canada,+1 902 336 2235 ,nvspha@ns.aliantzinc.ca,n/a
"Ucluelet East Harbour, Canada",Canada,+ 1 250 726 4241 ,info@dist.ucluelet.bc.ca,n/a
"Sugluk Inlet, Canada",Canada,n/a,n/a,n/a
"Cap-Aux-Meules (Port Polyvalent), Canada",Canada,+1 418 986 5110 ,adm.port@tlb.sympatico.ca,n/a
" Newtown Harbour, Canada",Canada,+1 709 536 3314 ,n/a,n/a
"Gargantua Harbor, Canada",Canada,n/a,n/a,n/a
"Port of Thunder Bay, Canada",Canada,+1 807 3456400 ,tbport@tbaytel.net,http://www.portofthunderbay.com/
"Big Tancook Island Harbour, Canada",Canada,n/a,n/a,n/a
"L'Anse-au-Griffon Harbour, Canada",Canada,+1 418 892 0116 ,n/a,n/a
"Centreville Harbour, Canada",Canada,+1 709 678 6354 ,n/a,n/a
"Fairview Harbour, Canada",Canada,+1 250 624 3127 ,peharbour@citytel.net,http://www.peharbour.ca/
"Pointe-Sapin  Harbour, Canada",Canada,+1 506 876 2072 ,n/a,n/a
"Lourdes Harbour, Canada",Canada,+1 709 642 5751 ,n/a,n/a
"Kitkatla Harbour, Canada",Canada,+1 250 848 2214 ,n/a,n/a
"Beaumont Harbour, Canada",Canada,+1 709 264 4321 ,n/a,n/a
"Delaps Cove Harbour, Canada",Canada,+1 902 532 5636 ,n/a,n/a
"Pool's Cove Harbour, Canada",Canada,+1 709 665 3500 ,n/a,n/a
"Port of Arichat, Canada",Canada,n/a,n/a,n/a
"Port Felix, Canada",Canada,n/a,n/a,n/a
"Winnipeg Beach, Canada",Canada,+1 204 389 2649 ,n/a,n/a
"Baie De Brador, Canada",Canada,+1  418 461 2951 ,jonjwell@gmail.com,n/a
"Menzies Bay, Canada",Canada,n/a,n/a,n/a
"Boxey Harbour, Canada",Canada,+1 709 888 5531 ,judbartlett@hotmail.com,n/a
"Stanley Bridge Harbour, Canada",Canada,n/a,n/a,n/a
"Port De St Pierre, Canada",Canada,n/a,n/a,n/a
"Jacouet River Harbour, Canada",Canada,+1 506 237 5696 ,n/a,n/a
"North West Cove Harbour, Canada",Canada,+1 902 228 2967 ,n/a,n/a
"Grand Bank Harbour, Canada",Canada,+1 709 832 0255 ,hagrandbank@nf.aibn.com,n/a
"Fairhaven Harbour, Canada",Canada,n/a,n/a,n/a
"Union Bay, Canada",Canada,n/a,n/a,n/a
"Blandford Harbour (Shoal Cove), Canada",Canada,+1 902 673 3270 ,n/a,n/a
"Three Fathom Harbour, Canada",Canada,n/a,n/a,n/a
"Millerand Harbour, Canada",Canada,+1 418 986 5495 ,n/a,n/a
"Brigus Harbour, Canada",Canada,+1 709 528 3051 ,wayne@superweb.ca,n/a
"Lower Woods Harbour, Canada",Canada,+1 902 723 0110 ,n/a,n/a
"Port San Juan, Canada",Canada,n/a,n/a,n/a
"West Dover Harbour, Canada",Canada,n/a,n/a,n/a
"Gull Harbour, Canada",Canada,+1 204 279 2462 ,n/a,n/a
"St Anthony Harbor, Canada",Canada,n/a,n/a,n/a
"Port Simpson, Canada",Canada,n/a,n/a,n/a
"New Waterford Harbour, Canada",Canada,+1 902 862 7749 ,n/a,n/a
"Witless Bay, Canada",Canada,+1 709 334 2874 ,n/a,n/a
"Stormont Harbor, Canada",Canada,n/a,n/a,n/a
"Calvert  Harbour, Canada",Canada,+1 709 432 2372 ,n/a,n/a
"Pointe-Verte Harbour, Canada",Canada,+1 506 783 2870 ,n/a,n/a
"Cap -Des-Caissie Harbour , Canada",Canada,+1 506 576 8316 ,n/a,n/a
"Marie Joseph Harbor, Canada",Canada,n/a,n/a,n/a
"Blacks Harbour, Canada",Canada,n/a,n/a,n/a
"Halls  Harbour, Canada",Canada,+1 902 678 0320 ,n/a,n/a
"Pictou Island, Canada",Canada,n/a,n/a,http://www.pictouisland.com
"Mayne Harbor, Canada",Canada,n/a,n/a,n/a
"Daniel's Harbour , Canada",Canada, +1 709 898 2427 ,n/a,n/a
"Princeton Harbour, Canada",Canada,+1 709 462 3500 ,prince_geraldine@hotmail.com,n/a
"Ladysmith Harbour, Canada",Canada,+1 250 245 7511 ,lfwa@telus.net,http://www.ladysmithfishermanswharf.com/
"Bay Roberts Harbor, Canada",Canada,+1 709 786 6766 ,donna1953@hotmail.com,n/a
"Open Hall Harbour, Canada",Canada,+1 709 545 2267 ,n/a,n/a
"Port of Baddeck, Canada",Canada,+1 902 2953666 ,n/a,n/a
"Ingonish, Canada",Canada,n/a,n/a,n/a
"Goulais Bay, Canada",Canada,n/a,n/a,n/a
"Tiffin Harbour, Canada",Canada,n/a,n/a,n/a
"Carters Point Harbour (Murphy Cove), Canada",Canada,n/a,n/a,n/a
"St.Thomas Harbour, Canada",Canada, +1 506 743 8612 ,n/a,n/a
"Cape Freels North Harbour, Canada",Canada,+1 709 530 2322 ,n/a,n/a
"Upper Port la Tour Harbour, Canada",Canada,n/a,haofpl@ns.sympatico.ca,n/a
"Harbour Grace, Canada",Canada, +1 709 596 0605 ,hgha@nf.aibn.com,n/a
"Robichaud Harbour, Canada",Canada,+1 506 533 9310 ,n/a,n/a
"Arnold's Cove Harbour, Canada",Canada,+1 709  463 8896 ,haarnoldscove@nf.aibn.com,n/a
"Ramea Harbour, Canada",Canada, +1 709 625 2123 ,bevbrian@gmail.com,n/a
"Lockeport Harbour, Canada",Canada,+1 902 8756916 ,n/a,n/a
"Tsehum Harbour (Shoal Harbour), Canada",Canada, +1 250 655 4496 ,tha@shawcable.com,n/a
"Lower East Pubnico Harbour, Canada",Canada,n/a,n/a,n/a
"Port of Bathurst, Canada",Canada,+1 506 5459222 ,n/a,n/a
"Masset (Delkatla Slough) Harbour, Canada",Canada,+1 250 626 5487 ,ymerle@island.net,n/a
"Batchawana Bay, Canada",Canada,+1 705 8822367 ,n/a,n/a
"Mill Cove Harbour, Canada",Canada,+1 902 857 3170 ,n/a,n/a
"Victoria Harbour, Canada",Canada,n/a,n/a,n/a
"Sturdies Bay Harbor, Canada",Canada,n/a,n/a,n/a
"Hillsborough, Canada",Canada,n/a,n/a,n/a
"Gowlland Harbor, Canada",Canada,+1 604 5414639 ,info@fishghr.com,http://www.gowllandharbour.com/
"Port of Churchill , Canada",Canada,+1 204 6758823 ,randerson@omnitrax.com,http://www.portofchurchill.ca/
"St Placide, Canada",Canada,n/a,n/a,n/a
"Flower's Cove Harbour, Canada",Canada,+1 709 456 2207 ,n/a,n/a
"Feltzen South Harbour, Canada",Canada,+1 902 766 4071 ,n/a,n/a
"Malagash Harbour, Canada",Canada,n/a,n/a,n/a
"Depot Harbour, Canada",Canada,n/a,n/a,http://depot-harbour.com/
"St. Brendan's (Shoal Cove and Dock Cove), Canada",Canada,+1 709 669 3226 ,n/a,n/a
"Port Weller, Canada",Canada,+1 905 6411932 ,marketing@seaway.ca,http://www.seaway.ca/
"Leamington, Canada",Canada,n/a,n/a,n/a
"Wolfe Island, Canada",Canada,n/a,n/a,n/a
"Port of Mulgrave, Canada",Canada,+1 902 7472410 ,timgilfoy@straitsuperport.com,http://www.straitsuperport.com/
"Port of Tahsis, Canada",Canada,+1 250 9346344 ,admin@villageoftahsis.com,n/a
"Port of Yarmouth, Canada",Canada,+1 902 7421803 ,dwhiting@swsda.com,http://www.portofyarmouth.com/
"Lower Wedgeport -Tuna Wharf Harbour, Canada",Canada,+1 902 663 4666 ,n/a,n/a
"Port Severn, Canada",Canada,n/a,n/a,n/a
"Queen Charlotte City Harbour, Canada",Canada,+1 250 559 4650 ,harbour@qcislands.net,n/a
"Port of Halifax, Canada",Canada,+1 902 4268222 ,n/a,http://www.portofhalifax.ca/
"Coteau Landing, Canada",Canada,n/a,n/a,n/a
"Pangnirtung, Canada",Canada,n/a,n/a,n/a
"Buctouche Harbour, Canada",Canada,n/a,n/a,n/a
"Port of Springdale, Canada",Canada,+1 709 6733439 ,springdale.nf@thezone.net,n/a
"Bella Coola Harbour, Canada",Canada,+1 250 7995633 ,bcharbour@belco.bc.ca,n/a
"Ahousat Harbour, Canada",Canada,n/a,n/a,n/a
"Coral Harbor, Canada",Canada,n/a,n/a,n/a
"Old Harry Harbour, Canada",Canada, +1 418 985 2298 ,amandagoodwin@ilesdelamadeleine.ca,n/a
"L'anse-A-Brillant, Canada",Canada, +1 418 368 6075 ,admportabrillantstgmalbaie@globetrotter.net,n/a
"Port of Caraquet, Canada",Canada,+1 506 7276145 ,n/a,http://www.portcaraquet.ca/
"Sointula Harbour, Canada",Canada, +1 250 973 6544 ,milha@island.net,n/a
"Harrington Harbour, Canada",Canada,+1 418 795 3390 ,sam.cox@globetrotter.net,n/a
"Morris Island, Canada",Canada,n/a,n/a,n/a
"Petit Shippagan Harbour, Canada",Canada,+1 506 344 9189 ,n/a,n/a
